City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Paita,PE,62.8,broken clouds,-5.09,-81.11,Hotel Náutico de Paita
21,Yellowknife,CA,62.83,light rain,62.46,-114.35,The Explorer Hotel
40,Fortuna,US,61.86,scattered clouds,40.6,-124.16,Super 8 by Wyndham Fortuna
58,Busselton,AU,62.31,overcast clouds,-33.65,115.33,Observatory Guest House
82,East London,ZA,63.1,light rain,-33.02,27.91,Tu Casa
86,Verkhnevilyuysk,RU,62.37,overcast clouds,63.45,120.32,Gostinitsa Mila
102,Yar-Sale,RU,61.72,overcast clouds,66.83,70.83,Yalemd
110,Hualmay,PE,61.83,broken clouds,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
166,Nyurba,RU,62.92,overcast clouds,63.28,118.33,"Гостиница ""Comfort"""
191,Joao Pinheiro,BR,63.0,clear sky,-17.74,-46.17,Hotel Santos
212,Asau,RO,61.72,broken clouds,46.43,26.4,Casa Mika Ciobanus
234,Grindu,RO,61.12,clear sky,44.77,26.92,half of the heart
244,Yelizovo,RU,62.74,scattered clouds,53.19,158.38,Kamchatskiy Stil' Hostel
262,Mokrousovo,RU,63.37,light rain,55.81,66.77,Tserkov'
270,Mala,PE,61.81,broken clouds,-12.66,-76.63,Hotel Granda
346,Altay,CN,63.68,broken clouds,47.87,88.12,Jinqiao Hotel
358,Verin,ES,61.56,clear sky,41.94,-7.44,Parador de Verín
363,Ngaoundere,CM,63.54,light rain,7.32,13.58,Hotel Mentong Palace
383,Ngunguru,NZ,62.6,scattered clouds,-35.62,174.5,Pacific Rendezvous Motel Resort
404,Achinsk,RU,62.44,light rain,56.27,90.5,Otel' Viktoriya
411,Darhan,MN,62.11,overcast clouds,49.49,105.92,Buudai Hotel
423,Sechura,PE,63.25,broken clouds,-5.56,-80.82,Hospedaje Costa Bella
437,Marienburg,PL,61.12,clear sky,54.04,19.03,Hotel Centrum Malbork
453,Petropavlovsk-Kamchatskiy,RU,61.39,scattered clouds,53.05,158.65,The Hotel Petropavlovsky
457,Chimbote,PE,61.3,scattered clouds,-9.09,-78.58,Hotel Briliá
460,Suntar,RU,61.34,overcast clouds,62.14,117.63,Гостевая квартира
489,Ketchikan,US,61.27,overcast clouds,55.34,-131.65,Snow's Cove Lodge
490,Salair,RU,62.19,moderate rain,54.23,85.8,Гостевой Дом на Заречной
512,Nelson Bay,AU,63.09,broken clouds,-32.72,152.15,Mantra Nelson Bay
546,At-Bashi,KG,63.43,clear sky,41.17,75.81,Hostel At-Bashy
547,Port Macquarie,AU,62.89,broken clouds,-31.43,152.92,Rydges Port Macquarie
565,Hovd,MN,62.28,overcast clouds,48.01,91.64,Hotel Khovd
582,Coolum Beach,AU,61.34,overcast clouds,-26.53,153.1,Coolum Beach Resort
597,Nsanje,MW,62.78,clear sky,-16.92,35.26,Nsanje Secondary School Boys Hostels
606,Tocopilla,CL,62.47,overcast clouds,-22.09,-70.2,Hotel Galvarino
666,Serafimovich,RU,62.6,clear sky,49.58,42.74,Donskiye Prostory
670,Portlethen,GB,62.78,overcast clouds,57.05,-2.13,Premier Inn Aberdeen South (Portlethen) hotel
